,Name,Sex,Class,Ticket Fare,Embarked,Home Destination
0,"Beattie, Mr. Thomson",male,1,75.2417,C,"Winnipeg, MN"
1,"Rheims, Mr. George Alexander Lucien",male,1,39.6000,S,"Paris /  New York, NY"
2,"Williams, Mr. Richard Norris II",male,1,61.3792,C,"Geneva, Switzerland / Radnor, PA"
3,"Abbott, Mrs. Stanton (Rosa Hunt)",female,3,20.2500,S,"East Providence, RI"
4,"Abelseth, Mr. Olaus Jorgensen",male,3,7.6500,S,"Perkins County, SD"
5,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,3,7.7958,S,
6,"Jansson, Mr. Carl Olof",male,3,7.7958,S,
7,"Keefe, Mr. Arthur",male,3,7.2500,S,
8,"Lindell, Mr. Edvard Bengtsson",male,3,15.5500,S,
9,"Lindell, Mrs. Edvard Bengtsson (Elin Gerda Persson)",female,3,15.5500,S,
10,"Olsson, Mr. Oscar Wilhelm",male,3,7.7750,S,
