,Name,Sex,Class,Ticket Fare,Embarked,Home Destination
0,"Carter, Mr. William Ernest",male,1,120.0000,S,"Bryn Mawr, PA"
1,"Ismay, Mr. Joseph Bruce",male,1,0.0000,S,Liverpool
2,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",female,3,7.2292,C,"Greensburg, PA"
3,"Assaf Khalil, Mrs. Mariana (""Miriam"")",female,3,7.2250,C,"Ottawa, ON"
4,"Ayoub, Miss. Banoura",female,3,7.2292,C,"Syria Youngstown, OH"
5,"Baclini, Miss. Eugenie",female,3,19.2583,C,"Syria New York, NY"
6,"Baclini, Miss. Helene Barbara",female,3,19.2583,C,"Syria New York, NY"
7,"Baclini, Miss. Marie Catherine",female,3,19.2583,C,"Syria New York, NY"
8,"Baclini, Mrs. Solomon (Latifa Qurban)",female,3,19.2583,C,"Syria New York, NY"
9,"Badman, Miss. Emily Louisa",female,3,8.0500,S,"London Skanteales, NY"
10,"Bing, Mr. Lee",male,3,56.4958,S,"Hong Kong New York, NY"
11,"Chip, Mr. Chang",male,3,56.4958,S,"Hong Kong New York, NY"
12,"Devaney, Miss. Margaret Delia",female,3,7.8792,Q,"Kilmacowen, Co Sligo, Ireland New York, NY"
13,"Hee, Mr. Ling",male,3,56.4958,S,
14,"Hellstrom, Miss. Hilda Maria",female,3,8.9625,S,
15,"Howard, Miss. May Elizabeth",female,3,8.0500,S,
16,"Hyman, Mr. Abraham",male,3,7.8875,S,
17,"Lam, Mr. Ali",male,3,56.4958,S,
18,"Masselmani, Mrs. Fatima",female,3,7.2250,C,
19,"Moubarek, Master. Gerios",male,3,15.2458,C,
20,"Moubarek, Master. Halim Gonios (""William George"")",male,3,15.2458,C,
21,"Moubarek, Mrs. George (Omine ""Amenia"" Alexander)",female,3,15.2458,C,
22,"Najib, Miss. Adele Kiamie ""Jane""",female,3,7.2250,C,
23,"Nakid, Miss. Maria (""Mary"")",female,3,15.7417,C,
24,"Nakid, Mr. Sahid",male,3,15.7417,C,
25,"Nakid, Mrs. Said (Waika ""Mary"" Mowad)",female,3,15.7417,C,
26,"Nicola-Yarred, Master. Elias",male,3,11.2417,C,
27,"Nicola-Yarred, Miss. Jamila",female,3,11.2417,C,
28,"Ohman, Miss. Velin",female,3,7.7750,S,
29,"Peter, Master. Michael J",male,3,22.3583,C,
30,"Roth, Miss. Sarah A",female,3,8.0500,S,
31,"Salkjelsvik, Miss. Anna Kristine",female,3,7.6500,S,
32,"Stanley, Miss. Amy Zillah Elsie",female,3,7.5500,S,
33,"Touma, Master. Georges Youssef",male,3,15.2458,C,
34,"Touma, Miss. Maria Youssef",female,3,15.2458,C,
35,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,3,15.2458,C,
36,"Whabee, Mrs. George Joseph (Shawneene Abi-Saab)",female,3,7.2292,C,
37,"Yasbeck, Mr. Antoni",male,3,14.4542,C,
