Name,Home City,Rating,Saved,Lifeboat,Body Disposition
"Abbott, E.",Southampton,Pantryman,.,.,.
"Ahier, P.",Southampton,Saloon steward,.,.,.
"Akerman, J.",Southampton,Assistant pantryman,.,.,.
"Akermann, A.",Southampton,Steward,.,.,.
"Allan, F.",Southampton,Lift attendant,.,.,.
"Allan, R.",Southampton,Bedroom steward,.,.,.
"Allaria, Baptiste",Southampton,"Assistant waiter, Ala Carte Restaurant",.,.,.
"Allen, E.",Southampton,Scullion,.,.,.
"Allsop, F.","Woolston, Hampshire",Saloon steward,.,.,.
"Anderson, W.",Southampton,Bedroom steward,.,.,.
"Andrews, Charles E.",Southampton,Assistant steward,saved,16,.
"Ashcroft, A.",Cheshire,Clerk,.,.,.
"Ashe, H.",Liverpool,G. H. steward,.,.,.
"Aspelagi, G.",London,"Assistant plateman, Ala Carte Restaurant",.,.,.
"Ayling, E.",Southampton,Assistant vegetable cook,.,.,.
"Back, C.",Southampton,Assistant attendant,.,.,.
"Baggott, A.",Southampton,Saloon steward,saved,.,.
"Bagley, E.",Southampton,Saloon steward,.,.,.
"Bailey, G.","Brooklands, Shepperton",Saloon steward,.,.,.
"Ball, Percy",Southampton,Plate washer,saved,.,.
Banfi,London,"Waiter, Ala Carte Restaurant",.,.,.
"Barker, A.","Kingsworthy, Winchester",Assistant baker,.,.,.
"Barker, E.",London,Saloon steward,.,.,.
"Barker, Reginald L.",Southampton,Second Purser,.,.,.
"Barker, T.",Southampton,Assistant butcher,.,.,.
"Barlow, G.",Southampton,Bedroom steward,.,.,.
"Barnes, W.",Southampton,Assistant baker,.,.,.
"Barrett, A.",Southampton,Bell boy,.,.,.
"Barringer, A.",Southampton,Saloon steward,.,.,.
"Barrow, H.",Southampton,Assistant butcher,.,.,.
"Barrows, W.",London,Saloon steward,.,.,.
"Barton, S.",Southampton,Steward,.,.,.
"Basilico, G.",London,"Waiter, Ala Carte Restaurant",.,.,.
"Baxter, F.",Southampton,Linen keeper,.,.,.
"Baxter, H. R.",Southampton,Steward,.,.,.
